Bedrijfsnaam,Email,Telefoon,Adres,Postcode,Plaats,Merken
Motorrad Berlage GmbH,berlage@t-online.de,+49 5251 38562,Bachstr. 12,,Paderborn,
Motorradhaus Cottbus,info@motorradhaus-cottbus.de,+49 355 710224,Merzdorfer Weg 4a,03042,Cottbus,
WM-Bike Motorradhandels GmbH,info@wm-bike.com,+49 851 40171,Salzweger Strasse 1,94034,Passau,
Motorrad Reinhardt,info@motorrad-reinhardt.de,+49 9561 853500,Neustadter Straße 23-25,96450,Coburg,
MOTO-DEALER GmbH,info@moto-dealer.de,+49 170 3834519,,,
Adolf Hisgen GmbH,,+49 651 462716-0,Gottbillstr. 34 e,54294,Trier,BMW
Ducati Düsseldorf,info@ducatiduesseldorf.de,+49 211 7213043,,,Düsseldorf,Ducati
Ducati München,info@ducati-muc.de,+49 89 89827700,,,München,Ducati
Ducati Ingolstadt,info@ducati-ingolstadt.de,+49 8450 5609838,,,Ingolstadt,Ducati
Ducati Berlin,kontakt@ducati-berlin.de,+49 30 440445560,,,Berlin,Ducati
Ducati Bochum,,+49 234 6103900,,,Bochum,Ducati
BMW Motorrad Deutschland,motorrad@bmw.de,+49 89 1250 16200,,,München,BMW
Kawasaki Oeler GmbH,info@oeler.de,+49 209 24516,,,Gelsenkirchen,Kawasaki
HMf Motorrad,info@hmf-motorrad.de,+49 931 2009080,,,Würzburg,
MS Motorcycles,kontakt@ms-motorcycles.com,+49 5052 912798,,,Hermannsburg,
Triumph Deutschland,kundendienst.de@triumphmotorcycles.com,,,Rosbach,Triumph
Yamaha Center Roth,info@yamaha-center-roth.de,,,Roth,Yamaha
MGT Cottbus (BSA),mgt-cottbus@t-online.de,,,Cottbus,BSA
Motorrad Schwekendick,,+49 5151 9525170,Hastenbecker Weg 64,31789,Hameln,
Bikerworld Rosenheim,,+49 8031 9059850,Kufsteiner Str. 72,83026,Rosenheim,
Motorrad Huber,,+49 8024 300990,Tölzer Str. 51,83607,Holzkirchen,BMW
Zweirad Ginzinger,,+49 8654 6980,Reichenhaller Str. 27,83435,Bad Reichenhall,Honda Yamaha
Motorrad Kreiselmeyer,,+49 911 9936510,Dieselstr. 33,90441,Nürnberg,BMW
Kohl Motorrad,,+49 89 32951640,Schleißheimer Str. 111,85748,Garching,BMW Kawasaki
Motorrad Bayer,,+49 8141 355150,Landsberger Str. 9,82256,Fürstenfeldbruck,
Motorrad Weihe,,+49 4193 753535,Ulzburger Str. 358,24558,Henstedt-Ulzburg,Honda
Hein Gericke Hamburg,,+49 40 89066920,Poppenbütteler Bogen 44,22399,Hamburg,
Louis Hamburg,,+49 40 734193-0,Rungedamm 35,21035,Hamburg,
Motorrad Technik Nord,,+49 40 73431970,Röntgenstr. 37,22335,Hamburg,Suzuki
Biker Stable,,+49 30 4737070,Berliner Str. 25,13507,Berlin,
Harley-Davidson Berlin,,+49 30 349840,Holzhauser Str. 158,13509,Berlin,Harley-Davidson
Kawasaki Berlin,,+49 30 3940360,Spandauer Damm 80,14059,Berlin,Kawasaki
Honda Frankfurt,,+49 69 830060,,,Frankfurt am Main,Honda
Yamaha Frankfurt,,+49 69 40359940,Hanauer Landstr. 291,60314,Frankfurt am Main,Yamaha
Polo Motorrad Köln,,+49 221 9769680,Mathias-Brüggen-Str. 85,50829,Köln,
Zweirad Mildner,,+49 221 9350680,Industriestr. 170,50999,Köln,KTM Husqvarna
BMW Köln,,+49 221 8976570,Aachener Str. 1253,50858,Köln,BMW
