Bedrijfsnaam;Email;Stad;Regio
S.N. Moto;snmoto@libero.it;Milano;Lombardia
Stamoto;ricambi@stamoto.it;Milano;Lombardia
Moto & Sport;moto_e_sport@tiscali.it;Milano;Lombardia
Sarma Motorrad;contatti.usato.milano@sarma-motorrad.com;Milano;Lombardia
Motostar Honda;massimo.motostar@gmail.com;Milano;Lombardia
Motoabbigliamento Brescia;brescia@motoabbigliamento.it;Brescia;Lombardia
Harley-Davidson Torino;info@harley-davidson-torino.it;Torino;Piemonte
Motorbike Center;info.to@motorbikecenter.it;Torino;Piemonte
Martinelli Moto;info@martinellimoto.com;Torino;Piemonte
Quattrocchi Moto;quattrocchimoto@libero.it;Torino;Piemonte
CMTmotor Torino;torino@cmtmotor.com;Torino;Piemonte
Royal Enfield Torino;info@royalenfieldtorino.it;Torino;Piemonte
Girelli Motors;info@girellimotors.it;Verona;Veneto
Motolandia;info@motolandiasrl.com;Verona;Veneto
Fabbris Moto;info@fabbrismoto.com;Verona;Veneto
Giraldo Moto;info@giraldomoto.com;Padova;Veneto
Harley-Davidson Padova;info@harleydavidsonpadova.com;Padova;Veneto
Indian Moto Padova;info@indianmoto-padova.it;Padova;Veneto
American Motorcycles Bologna (Harley-Davidson);info@harleydavidsonbologna.com;Bologna;Emilia-Romagna
Franchini e Alpinoli;franchiniealpinoli@hondaitalia.com;Modena;Emilia-Romagna
Superbike Srl;info@superbikemo.it;Modena;Emilia-Romagna
Top Motor;info@topmotor.it;San Prospero (MO);Emilia-Romagna
