Bedrijfsnaam,Email,Telefoon,Adres,Postcode,Plaats,Merken
FMC Flon Motos Centre Sàrl,info@fmc-moto.ch,+41 21 323 34 73,Rue de Genève 19,CH-1003,Lausanne,
Moto Kaufmann,info@moto-kaufmann-lyss.ch,+41 32 384 33 51,Südstrasse 3,CH-3250,Lyss,
Isler Motorräder,islermoto@bluewin.ch,+41 56 496 52 75,Vorderi Böde 3,CH-5452,Oberrohrdorf,
Donze Cycles-Motos,donze-cycles-motos@freesurf.ch,+41 32 913 30 45,Av. Leopold-Robert 92,CH-2300,La Chaux de Fonds,
Hostettler Moto AG,info@hostettler-moto.ch,+41 41 926 63 00,Haldenmattstrasse 3,6210,Sursee,"Yamaha, KTM, Husqvarna, MV Agusta"
Yamaha Motor Switzerland,info@yamaha-motor.ch,+41 41 926 61 01,Haldenmattstrasse 3,6210,Sursee,Yamaha
Motoactive GmbH,info@motoactive.ch,+41 34 431 55 15,Eystrasse 34,3454,Sumiswald,
Parts World AG,info@parts-world.ch,+41 32 677 24 21,Heinibühlstrasse 34,4573,Lohn-Ammannsegg,
Motoshop Mx,info@mx-academy.org,+41 79 694 34 77,,8252,Schlatt,
Hostettler AG,info@hostettler.com,+41 41 926 61 11,Haldenmattstrasse 3,6210,Sursee,
Intercycle AG,info@intercycle.com,+41 41 926 65 11,Haldenmattstrasse 3,6210,Sursee,
Hostettler Autotechnik AG,pneuservice.4rad@autotechnik.ch,+41 41 926 62 11,Haldenmattstrasse 3,6210,Sursee,
Hostettler Motoren AG,info@hostettler-motoren.ch,+41 41 926 64 11,Haldenmattstrasse 3,6210,Sursee,
Hostettler Moto AG Zürich Nord,zuerich-nord@hostettler-moto.ch,+41 44 860 77 40,Klotenerstrasse 10,8153,Rümlang,"Yamaha, KTM, Husqvarna, MV Agusta"
Hostettler Veloland GmbH,info@hostettler-veloland.ch,+41 41 926 62 81,Bahnhofstrasse 25,6210,Sursee,
Moto Center Schwyz AG,info@motocenterschwyz.ch,+41 41 811 80 40,Riedmattli 1,6423,Seewen,
Moto Center Winterthur,info@moto-center-winterthur.ch,+41 52 681 18 49,,8400,Winterthur,Alle Marken
Moto Mader AG,info@moto-mader.ch,+41 62 737 85 85,Ausserfeldstrasse 20,5036,Oberentfelden,"BMW, KTM, Yamaha"
Moto Burkhalter,info@moto-burkhalter.ch,+41 31 829 16 87,,3045,Meikirch,Voge
Moto X GmbH,info@motoxgmbh.ch,+41 31 742 00 42,Bernstrasse 50,3175,Flamatt,Voge
Ducati Zurich-Oberland,d.meier@meier-motos.ch,+41 55 243 51 74,Lochrütistrasse 4,8633,Wolfhausen bei Rüti ZH,Ducati
Hess Motorrad AG,,+41 31 931 88 52,Tägetlistrasse 16,CH-3072,Ostermundigen,
DL Custom GmbH,,+41 79 423 50 08,Grenzstrasse 31,CH-3250,Lyss,
LO Motorradtechnik,,+41 77 419 77 80,Weidenstrasse 50,,Dornach,
Harley-Davidson Basel,,+41 61 751 88 88,Andlauring 32,CH-4147,Aesch,Harley-Davidson
Gilgen Moto GmbH,,+41 32 614 09 09,Käsereistraße 5,CH-4543,Deitingen,
Outback Motors,,+41 32 677 22 54,Gewerbestr. 1,CH-4573,Lohn-Ammannsegg,
JB Töffhandel / KSR Swiss GmbH,,+41 71 648 28 06,Bucherstrasse 6,CH-8585,Happerswil,
CP-Cycles,,+41 71 912 11 26,Thuraustr.30d,CH-9500,Wil,
Motorradwerk GmbH,,+41 71 371 24 11,Frauenfelderstrasse 56,CH-9542,Münchwilen,
Harley-Davidson Lausanne,,+41 21 706 01 01,Riond Bosson 2,CH-1110,Morges,Harley-Davidson
Harley-Davidson Fribourg,,+41 26 412 70 74,Route de Corbaroche 32,CH-1723,Marly,Harley-Davidson
Harley-Davidson Neuchatel,,+41 32 841 34 54,Chemin des Echelles 3,CH-2016,Cortaillod,Harley-Davidson
Harley-Davidson Mönchaltorf,,+41 44 948 10 48,Raellikerstrasse 16,CH-8617,Mönchaltorf,Harley-Davidson
Basset Motos,,+41 22 329 10 10,Rue Puiserande 7,,Genève,Triumph
Erne's Euromotos,,+41 44 272 77 72,Sihlquai 67,CH-8005,Zürich,Triumph
Holzer Motos AG,,+41 27 922 11 11,Zwingarten 56,CH-3902,Glis,Triumph
Triumph Dietikon,,+41 44 744 30 44,Ueberlandstrasse 74,CH-8953,Dietikon,Triumph
Triumph Jura,,+41 32 421 34 00,Route de Delmont 156,CH-2802,Develier,Triumph
Triumph Lausanne,,+41 21 634 75 23,Chemin du Closalet 16,CH-1023,Crissier,Triumph
Moto-Tech Schweiz AG,,+41 62 842 88 80,Industriestrasse 19,5036,Oberentfelden AG,Ducati
Benzin im Blut,,,,8867,Niederurnen,
Adank AUTO MOTO ZENTRUM,,,,7000,Chur,
Thierstein Garage,,Passwangstrasse 49,,4226,Breitenbach SO,
100% 2-Roues,,,Rue Pestalozzi 5,1202,Genève,
1Rétrogaz SARL,,,,1756,La Brillaz,
1Vintage Wheels Garage GmbH,,,Kobiboden 6,8840,Einsiedeln,
2 Rad Scheidegger GmbH,,,Luzernerstrasse 12,6030,Ebikon,
2 Radsport Wald GmbH,,,Tösstalstrasse 34,8636,Wald ZH,
2-Rad Gebr. Widmer,,,Brückenstrasse 12,4632,Trimbach,
2-Rad Gerber AG,,,Rüegsaustrasse 25,3415,Rüegsauschachen,
2-Rad Wehrli GmbH,,,Sägetstrasse 6,3123,Belp,
2-Rad-Center Boller,,,Loorenstrasse 1,8127,Forch,
2Rad Tenger GmbH,,,Schaffhauserstrasse 88,8152,Glattbrugg,
