name,email,country,address,postcode,city,website,status,source,reaction,sent_at
2D Moto Saintes,contact@2dmoto.fr,FR,,,Saintes,https://www.2dmoto.fr,new,web-search-feb2026,,
2Radzentrum Karlsruhe,info@2radzentrum-karlsruhe.de,DE,,,Karlsruhe,,new,web-search-feb2026,,
3D Motoren,info@3dmotoren.nl,,Verbindingsweg 12,5527AM,Hapert,http://www.3dmotoren.nl,new,motoroccasion.nl,,
A. van Andel Motorrijwielen,info@avanandel.nl,,Leijensteinstraat 15-A,5331CS,Kerkdriel,http://www.avanandel.nl,new,motoroccasion.nl,,
A.D. Pugliese BMW Motorrad Sicilia,usato.moto@adpugliese.bmw.it,IT,,,Melilli,https://www.adpugliese.it,new,web-search-feb2026,,
A3 Motoren,a3motoren@gmail.com,,Gebbelsweg 19,6035EA,Ospel,http://www.a3motoren.nl,new,motoroccasion.nl,,
ACB Brussels-Delta,aftersales.delta@acbrussels.be,BE,,1160,Auderghem,https://acb-group.be,new,web-search-feb2026,,
ACUT Moto Praha,info@acutmoto.cz,CZ,,,Praha,,new,web-search-feb2026,,
AE Motorbikes,info@aemotorbikes.nl,,curieweg 18,8013RA,Zwolle,https://www.aemotorbikes.nl/,new,motoroccasion.nl,,
AF Motobikes Heidelberg,info@af-motobikes.de,DE,,,Heidelberg,,new,web-search-feb2026,,
AHAG BMW Gelsenkirchen,info@ahag-bmw.de,DE,,45897,Gelsenkirchen,https://ahag-group.de,new,web-search-feb2026,,
AM motoren,maikelanna@outlook.com,,Leerlooier 7G,9502KG,Stadskanaal,https://ammotoren.nl/,new,motoroccasion.nl,,
AMR Motorfietsen,info@amrmotorfietsen.nl,,Amsterdamseweg 13A,1422AC,Uithoorn,http://www.amrmotorfietsen.nl,new,motoroccasion.nl,,
AMS Schweinfurt,info@ams-schweinfurt.de,DE,,,Schweinfurt,https://ams-schweinfurt.de,new,web-search-feb2026,,
AMT Motors,info@amtmotors.nl,,Braillestraat 1A,2691HX,s-Gravenzande,http://www.amtmotors.nl,new,motoroccasion.nl,,
ARN Motors,verkoop@arnmotors.nl,,Steenbokstraat 27,7324AZ,Apeldoorn,https://arnmotors.nl/,new,motoroccasion.nl,,
ATR Buschdorf,info@atr.lu,LU,,L-7418,Buschdorf,,new,web-search-feb2026,,
ATT Racing Zwijndrecht,info@attracing.be,BE,,,Zwijndrecht,https://www.attracing.be,new,web-search-feb2026,,
ATVA Brno,brno@atvamoto.cz,CZ,,,Brno,https://www.swm-motor.cz,new,web-search-feb2026,,
Aankoopmotoren.be,info@aankoopmotoren.be,BE,,,Kortrijk,https://www.aankoopmotoren.be,new,web-search-feb2026,,
Abco Motors,info@abcomotors.nl,,Productweg 6,4387PG,Vlissingen,http://www.abcomotors.nl,new,motoroccasion.nl,,
Action Sports Verviers,info@actionsports.be,BE,,,Verviers,https://b2b.actionsports.be,new,web-search-feb2026,,
Ad Motoren,info@admotoren.nl,,Lijnbaan 65,1969ND,Heemskerk,http://www.admotoren.nl,new,motoroccasion.nl,,
Advance 3000 Cholet,pieceadvance@gmail.com,FR,,,Cholet,https://www.cf-moto.fr,new,web-search-feb2026,,
Adventure Bike Experience Center,info@adventure-bike.nl,,IJzerweg 21,8111CW,Heeten,http://www.Adventure-Bike.nl,new,motoroccasion.nl,,
Adventureshield,info@adventureshield.nl,,Kanaalstraat 3,7858TE,Eeserveen,http://www.adventureshield.nl,new,motoroccasion.nl,,
Aero Motoren,info@aeromotoren.nl,,Meer en Duin 325,2163HE,Lisse,http://www.aeromotoren.nl,new,motoroccasion.nl,,
Affetto Ducati,info@affettoducati.nl,,Ewijkseweg 3,6611AG,Overasselt,http://www.affetto.nl,new,motoroccasion.nl,,
Aimery Racing,info@aimeryracing.be,BE,,,Province Luxembourg,https://aimeryracing.be,new,web-search-feb2026,,
Alfamotors,info@alfamotors.nl,,Tuinderij 11,2451GG,Leimuiden,http://www.alfamotors.nl,new,motoroccasion.nl,,
Almia Motors Cagliari,info@almiamotors.it,IT,,,Cagliari,https://www.almiamotors.it,new,web-search-feb2026,,
Alpenmove Garmisch,info@alpenmove.de,DE,,,Garmisch-Partenkirchen,https://www.alpenmove.de,new,web-search-feb2026,,
Altitude Moto (Honda Grenoble),contact@altitude-moto.com,FR,,,Grenoble,,new,web-search-feb2026,,
